Atriplex Mixture,6394.99,11
Buphenyl,9002.14,53
Asthma Rescue - Cough,8102.72,33
Ciprofloxacin,8292.52,46
FENTANYL CITRATE,4576.09,95
ropinirole hydrochloride,7901.73,24
Fludrocortisone Acetate,9855.61,33
Doxycycline Hyclate,5304.83,15
Original Extra Strong All Natural Fishermans Friend Menthol Cough Suppressant,3185.83,79
Amlodipine Besylate and Benazepril Hydrochloride,1804.65,33
Calcium Chloride,8247.42,82
Ear Dry,2365.74,14
Sumatriptan,2656.7,64
Care One Pain Relief,4170.69,84
Naproxen,3240.11,53
IGF-1 Endurance Plus,1390.44,67
Hepar Magnesium 6 Special Order,4940.3,69
Rizatriptan Benzoate,1699.17,90
Amiodarone Hydrochloride,3425.15,99
Bone Repair,3886.4,98
Tandem,5830.21,86
medroxyprogesterone acetate,3495.16,95
R-Gene,8767.67,2
Keflex,2060.05,68
Doxycycline Hyclate,3171.1,54
Mozobil,4041.73,39
Ranitidine,1428.6,45
Solu-Medrol,3742.31,73
jock itch,7006.8,41
IMAGE ESSENTIALS,3556.73,14
Carvedilol,4451.25,69
Orphenadrine Citrate,2289.65,77
CRESTOR,2591.6,90
SUPER ORIGIN CC,1682.99,43
childrens allergy relief,1726.91,44
Amitriptyline Hydrochloride,4843.79,95
Humco Senna Leaves,7982.52,66
EPIVIR,1709.61,2
flormar REBORN FOUNDATION SUNSCREEN BROAD SPECTRUM SPF 20 SF19 Natural Beige,4223.27,9
CULTIVATED OATS POLLEN,9430.38,42
Advil PM,6309.78,87
Synthroid,5477.34,36
Citalopram,2344.24,60
Lithium Carbonate,6307.18,88
Lima Bean,4113.8,11
BabyGanics Sunscreen,8606.56,55
Ketoconazole,3699.48,38
Hydrochlorothiazide,6757.42,11
Chlorothiazide,7731.3,76
Treatment Set TS330317,5624.55,55
Zolpidem tartrate,1105.57,92
Dexamethasone Sodium Phosphate,5666.17,27
Watermelon,3495.73,7
WHITE GRAY BIRCH POLLEN,1230.1,96
Methylphenidate Hydrochloride,7932.95,85
Ibuprofen,5500.68,39
Match Perfection SPF 18,8637.68,81
Midazolam Hydrochloride,9352.71,13
JointFlex,3052.93,95
Bambusa Aesculus,5518.71,10
CEFEPIME HYDROCHLORIDE AND DEXTROSE,3902.03,83
Warfarin Sodium,7087.9,81
Promethazine hydrochloride,1429.57,19
RILUZOLE,2453.28,84
Cold Sore Treatment,3535.54,14
HYVEE,7275.08,83
Motion Sickness Relief,2746.59,79
LUSEDRA,6063.39,70
Carbidopa and Levodopa,1532.14,18
Gillette Power Beads,3916.98,14
Male Libido,3122.75,68
Clearasil PerfectaWash,4250.44,22
NICOTROL,3509.14,7
Hydrocodone Bitartrate And Acetaminophen,2849.69,19
DIPYRIDAMOLE,6750.08,34
GAMMAGARD,9351.54,11
naproxen sodium,8428.12,88
Burn with Lidocaine,6015.75,37
CVS PHARMACY,4600.37,63
Lotrimin,3434.94,13
COUMADIN,5510.47,92
DawnMist Deodorant Bar No. 1/2,7001.37,38
GABAPENTIN,8260.09,23
Diphenhydramine,5750.34,7
mally Face Defender Foundation BB,8808.92,34
CLE DE PEAU BEAUTE RADIANT FLUID FOUNDATION,2015.09,38
Meclizine Hydrochloride,4394.15,15
ESOPINIO JEWEL,4389.88,97
Leader TabTussin DM,3338.41,91
Cuprum Metallicum,7868.88,70
CONDITION AND ENHANCE SYSTEM,9563.25,73
Dulcolax,8293.2,64
Colgate,7906.72,68
Hydralazine Hydrochloride,9917.53,93
Soothe and Cool Free,5117.95,78
Amlodipine Besylate and Benazepril HCL,1135.8,88
Sodium Fluoride,6987.82,97
Body Luxuries French Lavender Antibacterial Hand Sanitizer,4309.06,84
prenate essential,2307.71,18
Grama Grass,7260.85,21
Everyday Clean Dandruff,1220.15,87
Fluoxetine Hydrochloride,4442.4,47
PediaCare Childrens Plus Cough and Sore Throat,9596.3,32
Clear,3487.35,42
Bayberry,2634.55,47
ropinirole,3998.65,69
"Sweet Vernal Grass, Standardized",7815.53,18
Esmolol Hydrochloride,4191.96,45
Fever Vomiting,1384.06,88
Pancreas Argentum,3418.1,9
DG Health Cold Head Congestion,9172.53,69
Ganciclovir,3919.34,75
Acticlate,4244.34,68
Pain Relief PM,1744.4,5
Suave,1127.1,52
VYTORIN,6909.16,13
Kiehls Since 1851 Facial Fuel Energizing Moisture Treatment for Men Broad Spectrum SPF 15 Sunscreen,6353.92,24
Depo-Medrol,1999.96,20
VALTREX,6246.91,73
Eye Sarcode,7053.36,96
QUALAQUIN,2685.34,55
Mountain Cedar,8800.36,12
omeprazole,7282.11,40
Topical Anesthetic,1366.44,57
Hesol Rim,5865.15,63
Ranitidine,1806.31,56
risperidone,8833.42,80
Aspergillus terreus,6996.35,90
Moisture Renew,3722.72,82
care one eye itch relief,6345.46,20
Intervene Makeup SPF 15 Soft Shell,6096.67,52
Helium Oxygen Mix 70/30,9554.26,46
American Beech,4941.14,1
Allergy Relief,6886.66,39
Cephalexin,7947.24,94
Western Ragweed Pollen,6335.1,17
Siladryl Allergy Medicine,9877.24,83
Lamotrigine,3727.93,53
Alcohol,8059.1,55
ALOE VESTA DAILY MOISTURIZER,4386.16,64
Magnesium Citrate,6487.28,59
Isopropyl Alcohol,9529.06,96
Ultravist,8849.57,77
Feminine Comfort,2546.62,61
Cepacol,9890.32,3
Ceramide Lift and Firm Makeup Broad Spectrum Sunscreen SPF 15 Spice,1444.15,55
Tramadol Hydrochloride and Acetaminophen,4191.15,56
Acetaminophen,5565.34,87
Tri-Vit with Fluoride Drops,7474.22,63
Age Defying Blemish Treatment,2018.77,22
Licorice,5543.96,52
Isopropyl Alcohol,7842.12,15
Bisacodyl,8763.58,62
Levofloxacin,7057.29,78
oxycodone hydrochloride,5142.81,11
equaline anti nausea,8513.43,40
Tamsulosin Hydrochloride,6776.81,63
METFORMIN HYDROCHLORIDE,1827.19,49
Fluconazole,9262.25,84
BABOR CLEANSING HY-OL,5561.05,82
stool softener plus stimulant laxative,8324.85,21
CVS Pharmacy Glycerin,2572.31,61
Kaiser Permanente,5304.2,38
Oxygen,8453.39,30
TRUFFLE EX WRINKLE SLEEPING MASK,5464.78,91
LIFT LUMIERE,7958.67,96
CVS Medicated Chest Rub,2837.84,59
Antiseptic,9573.08,59
Ciprofloxacin Hydrochloride,7865.09,46
Amiodarone Hydrochloride,9816.73,39
Methadone Hydrochloride,7861.32,5
LE TECHNIQ,9556.15,16
Anti-Empacho,2519.34,96
Fragmin,5368.6,9
Oral Dent,7910.13,21
Lovastatin,4706.6,44
Brain Balance,8451.07,86
Menstrual Relief,6940.61,31
Lyrica,9262.27,93
Haloperidol,2143.82,10
CLONIDINE HYDROCHLORIDE,8919.47,29
Rhizopus,1590.96,16
anti diarrheal,5512.32,42
Daytime Sinus Congestion And Pain,8091.74,99
Oxygen,4029.63,6
Propranolol Hydrochloride,4760.54,32
Lamotrigine,8142.05,70
Rite Aid RENEWALSPF 50,2656.5,11
Russian Thistle,4575.16,32
Irinotecan Hydrochloride,8479.62,71
Mistletoe and Mint Antibacterial Foaming Hand Wash,5206.52,97
Amitriptyline Hydrochloride,4972.86,35
OPANA,2876.22,87
Diazepam,8671.38,61
Daily Wear Moisturizer SPF-20,3864.28,20
Uramaxin,5070.23,43
Dynarex Hydrogel,8945.61,47
Badger SPF 35 Kids All Season,7232.65,62
Naproxen,9467.71,99
Carbamazepine,5116.01,96
Triamcinolone Acetonide,1049.53,47
Nitrogen,4159.98,68
Lip and Tongue Tie Revision,3692.37,44
Ionite APF,4682.14,44
Dawnmist Deodorant,9997.75,24
Olanzapine,7046.76,20
Arthritis HP,9689.81,72
Stay Awake,7994.09,76
Alprazolam,8364.96,75
Cargo Tinted Moisturizer SPF 20,5457.65,32
MUCOSA,1792.94,97
Warts,1851.42,41
LBEL Couleur luxe rouge irresistible maximum hydration SPF 17,9894.61,15
wal itin d,7668.12,73
Oral Dent,2207.62,29
Levothyroxine Sodium,2299.48,83
ATORVASTATIN CALCIUM,2708.49,67
Loperamide Hydrochloride,4123.46,75
"Skin antisepsis, oral cleansing, nasal antisepsis",7711.69,61
Sotalol Hydrochloride,6172.18,86
Eszopiclone,1478.99,47
GranuLotion,8544.78,36
Levetiracetam,5232.4,71
Neomycin and Polymyxin B Sulfates and Hydrocortisone,1495.79,70
Ribavirin,4321.28,72
METHITEST,6829.28,20
good neighbor pharmacy Pain and Fever,4612.44,44
LBEL COULEUR LUXE AMPLIFIER XP,6994.76,46
Tolnaftate,5205.21,49
citroma,5975.35,28
Topcare Nasal Four,8900.51,21
Gyno Complex,8961.31,42
White petrolatum,4558.17,74
Morphine Sulfate,5691.07,46
CARE ONE,4267.62,30
Diltiazem Hydrochloride,7140.96,96
Publix,2149.79,44
Flu-less,2896.89,38
Clindamycin hydrochloride,7187.64,67
Topiramate,9752.54,6
smart sense lice killing,3072.44,76
Alumina,1209.72,1
Ciprofloxacin,7097.6,83
Western Ragweed Pollen,6877.8,28
QUDEXY,5420.95,65
Acne Treatment Sulfur Wash,2024.5,37
Cetirizine Hydrochloride,7966.38,26
Total Suncare Sunscreen SPF 30,1017.73,81
"Molds, Rusts and Smuts, Hormodendrum cladosporioides",7150.68,16
Total Aluminum,1429.5,8
House Dust,2857.46,68
Cladosporium cladosporioides,4341.92,28
RED KIDNEY BEAN,8367.21,35
Advanced Hand Sanitizer,1874.48,20
CANTHARIS,1819.55,45
Finasteride,4224.42,48
leader anti-diarrheal,7235.4,4
Ondansetron,2268.65,99
Cefprozil,2151.36,9
"Molds, Rusts and Smuts, Cephalosporium acremonium",8686.96,35
SOMAVERT,7796.48,84
Putto Secret UV Face,2251.88,96
CNL8,6609.87,40
albuterol sulfate,5737.6,45
AMITRIPTYLINE HYDROCHLORIDE,8559.76,82
HYDROCODONE BITARTRATE,5684.84,17
Potassium Chloride,6920.3,7
Oxandrolone,2192.37,8
Good Sense Allergy Multi Symptom,7663.02,2
Dandruff,9659.7,50
Nitrous Oxide,1124.14,97
simply right nicotine,7070.15,38
Quetiapine fumarate,2584.46,69
Oxygen,1713.96,100
Pantoprazole Sodium,3349.49,50
"Standardized Mite, Dermatophagoides pteronyssinus, Bulk, 10000 AU per mL",2686.57,25
CD DiorSkin Forever Flawless Perfection Fusion Wear Makeup SPF 25 - 030,4877.08,41
3 CONCEPT EYES GLOSSING WATERFUL FOUNDATION SOFT BEIGE,1632.79,53
Good Care Povidone Iodine Swabsticks,2754.51,99
Betamethasone Dipropionate,2592.43,8
Lovastatin,2334.69,39
Simvastatin,5540.8,82
DIGESTION,9853.51,64
Cefuroxime Axetil,7034.88,18
Cinnamon,3697.49,98
womans laxative,7405.3,52
"Pollens - Trees, Oak, Red Quercus rubra",5844.78,78
Nitrogen,1042.01,66
Corn Grass,8209.86,29
Quetiapine fumarate,9113.73,24
Probenecid and Colchicine,1242.84,42
Readi-Cat2 Vanilla Smoothie,5861.99,39
COLLINSONIA CANADENSIS,7521.73,85
Infection,1421.32,53
Mentholatum Deep Heating Rub,7640.56,4
PLATANUS OCCIDENTALIS POLLEN,5247.21,63
Cefazolin,7159.92,76
"Standardized Grass Pollen, Bluegrass, Kentucky (June)",4542.83,1
Smart Sense Nasal Decongestant,9255.78,1
Desipramine Hydrochloride,8809.0,11
Cough and Cold,1863.15,79
Lamotrigine,5675.55,47
up and up acetaminophen,1962.69,47
equate daytime,5081.64,77
Carvedilol,8854.47,96
Ancient Secrets,6048.31,16
Parafon Forte DSC,8737.88,77
Progesterone Phenolic,8168.2,11
FoamFresh Alco-Foam Hand Sanitizer,8234.74,81
Bacitracin,4104.23,18
Santi-Gel Instant Hand Sanitizer,2863.57,31
Warfarin Sodium,3380.56,85
Minocycline Hydrochloride,3748.71,93
Cerebraplex,7296.46,87
No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Cool Ivory,7010.23,50
Divalproex Sodium,6163.25,85
Yes To Tomatoes Daily Repair Treatment,7312.01,93
Nartussal,3610.62,74
Oxygen,4022.21,57
Ginger Lime Hand Sanitizer,9876.63,41
Hydroxyzine Hydrochloride,4804.31,63
Dermatop,4216.33,47
equate,1377.4,7
Renewing Antioxidant Treatment SPF 6,5532.47,83
Peptic Relief,9097.01,11
Serotonin,3319.65,32
Oxycodone and Acetaminophen,6825.41,87
Spironolactone,5585.25,6
Lisinopril,8255.16,6
Acyclovir,2468.45,35
Health Mart Pain Relief,3722.52,76
Prednisone,7811.06,88
Mometasone furoate,9895.54,99
Duloxetine,7005.91,93
Lisinopril,6205.31,43
Methyldopa and Hydrochlorothiazide,7951.63,86
Glyburide,8744.53,28
Childrens,4674.16,52
Metoprolol succinate,2234.96,11
Nitrofurantoin Macrocrystals,5150.12,15
EndaCof,1203.26,34
equate childrens pain and fever,5351.97,53
Proactiv Solution,5251.41,95
SocialFear Relief,5005.69,83
Ibuprofen,6509.07,1
Azithromycin,6722.26,13
Meijer Honey Lemon Cough Drops,8585.94,92
CD DIORSKIN CITY DEFENSE Toxin Shield Pollution UV Advanced Protection with sunscreen Broad Spectrum SPF50,9158.71,41
SINGULAIR,6012.09,35
Clonidine Hydrochloride,7748.46,80
isosorbide mononitrate,8575.97,63
Robaxin,7034.49,37
sore throat,6641.2,47
Tums,2136.57,70
Citalopram,2493.93,60
Ulta Freshwater Mist Anti-Bacterial Deep Cleansing,3544.15,94
Amoxicillin,5834.49,28
DEODORANT,6011.25,49
Olay Total Effects Tone Correcting,1245.42,53
Oxytocin,6630.01,85
Amlodipine Besylate,1428.34,39
Soft Care Foam Select Antibacterial Hand,1824.46,27
Soybean,6252.96,69
DEXEDRINE,3475.85,91
Flu and Severe Cold and Cough,9360.03,27
Aurum Crataegus,4584.73,20
Fluoxetine,7525.61,94
benzonatate,1821.57,43
Ulta Fresh Spice Anti-Bacterial Deep Cleansing,3096.11,85
Dial White Tea and Vitamin E Antibacterial Hand Soap,9649.93,77
Telmisartan,1720.39,43
Sotalol Hydrochloride,2271.19,78
GloStrips,8466.54,66
Foot Rehab Pain relief and moisturizer,6846.86,36
Ibuprofen,3035.53,63
Jantoven,2410.84,72
Naturasil,3803.53,64
ciprofloxacin,4202.62,15
Thioridazine Hydrochloride,1715.57,97
Cortizone 10 Hydratensive Healing Anti Itch,9291.38,3
Best Choice Nighttime Severe Cold and Cough,5890.04,30
Temazepam,6893.43,4
good neighbor pharmacy complete,1222.62,97
Gemfibrozil,1889.07,16
ENALAPRIL MALEATE,2680.25,97
Levalbuterol Hydrochloride,2176.63,28
White Ash,7304.79,71
Temazepam,7121.53,36
Olanzapine,6746.95,49
Lisinopril,4656.13,77
levalbuterol hydrochloride,4703.17,35
